log.prior	log.likelihood	log.likelihood.test.set
-1.788159200713444079e+04 -1.013759435588260385e+04 -1.118840840372189632e+03
-1.791229182493481858e+04 -1.014572957705268891e+04 -1.119420341928149355e+03
-1.792384705050619596e+04 -1.014205851749159774e+04 -1.112943076929300787e+03
-1.791270563801570461e+04 -1.014637503320916949e+04 -1.117285131379986069e+03
-1.789946214475177112e+04 -1.015574337211231978e+04 -1.115789279851343053e+03
-1.790487190927574920e+04 -1.014330798598470756e+04 -1.109625314220810651e+03
-1.791573744743531279e+04 -1.014401897562584782e+04 -1.112344206390482668e+03
-1.790498237688509835e+04 -1.013885560471163808e+04 -1.111139383475170689e+03
-1.791810232038201138e+04 -1.013333493422579704e+04 -1.106608754992219019e+03
-1.790535526049492910e+04 -1.013422912063120384e+04 -1.102918820507093642e+03
-1.788721919203890502e+04 -1.013346387446697554e+04 -1.106538716324607321e+03
-1.787295580460915880e+04 -1.014724135598579596e+04 -1.116955345996831056e+03
-1.787452295898460579e+04 -1.014544262334234008e+04 -1.111874830077657862e+03
-1.786196462191335377e+04 -1.014897223246520480e+04 -1.109956993840348332e+03
-1.788689250261588313e+04 -1.013946068423337420e+04 -1.107405678626980716e+03
-1.789440524865944099e+04 -1.014539415550551894e+04 -1.109424259005071690e+03
-1.788627793212695542e+04 -1.014591363715080843e+04 -1.112512530363639144e+03
-1.788375438444304746e+04 -1.014192896651865522e+04 -1.114775219571812158e+03
-1.785255415989817629e+04 -1.014788737507934093e+04 -1.117980599372393954e+03
-1.784078439284218985e+04 -1.014835019102060505e+04 -1.111901779528988300e+03
-1.786234586820440745e+04 -1.014216193941520942e+04 -1.116391511336784333e+03
-1.788841363159124376e+04 -1.015353434747916072e+04 -1.118820703517134916e+03
-1.789975062031138077e+04 -1.015126971669740306e+04 -1.118803472551432151e+03
-1.794774314628212596e+04 -1.013995640861316497e+04 -1.118440796796720861e+03
-1.794939329483664187e+04 -1.013576641028869017e+04 -1.110389341765002882e+03
-1.790889463141754823e+04 -1.013873042039243228e+04 -1.111057981042951724e+03
-1.789267574538053304e+04 -1.014412919253661312e+04 -1.106217861320278189e+03
-1.789020443315582088e+04 -1.014395641759009959e+04 -1.107878322923388168e+03
-1.788205368153547897e+04 -1.014661544494919508e+04 -1.112437122958947384e+03
-1.789821180905003712e+04 -1.014064369633378919e+04 -1.114593390746705609e+03
-1.787415206571812814e+04 -1.014582231491620041e+04 -1.123977535932857791e+03
-1.787510716588275682e+04 -1.015233815729181151e+04 -1.122297978804636841e+03
-1.790173038151395667e+04 -1.014694923437012039e+04 -1.119741426292364395e+03
-1.792091893913396052e+04 -1.014743665647230227e+04 -1.114464686898557829e+03
-1.791858753185746536e+04 -1.014975932414302042e+04 -1.102632181970309830e+03
-1.793322049335199699e+04 -1.015365927727879352e+04 -1.102552717239849244e+03
-1.792859398530445469e+04 -1.015719383490131804e+04 -1.110621087749848812e+03
-1.792828901128903090e+04 -1.013980957964421214e+04 -1.101222104798518103e+03
-1.793079730032114094e+04 -1.014876225996239918e+04 -1.107964785724658213e+03
-1.795570034597892663e+04 -1.014694097663720822e+04 -1.116844373097680091e+03
-1.797342471237482823e+04 -1.014755826833271567e+04 -1.110701499742241140e+03
-1.797984469197116414e+04 -1.014676275808510400e+04 -1.116515858838673466e+03
-1.799506727296357349e+04 -1.014493373163481920e+04 -1.124101374426812981e+03
-1.798676146161888391e+04 -1.014507625851305784e+04 -1.119026765281374992e+03
-1.798909920162094932e+04 -1.014112070434608904e+04 -1.116387598756579791e+03
-1.798213011859476683e+04 -1.013750543762514280e+04 -1.115346969529014132e+03
-1.796048316020423226e+04 -1.013989196670887577e+04 -1.116561079578711087e+03
-1.796002805930874092e+04 -1.013666755218185790e+04 -1.110033536665165684e+03
-1.797274640983354038e+04 -1.013796144289361837e+04 -1.113867827636631773e+03
-1.795402534188916979e+04 -1.013719021816558234e+04 -1.110254305023203415e+03
-1.796566601739085672e+04 -1.013867790884613714e+04 -1.111843988324503698e+03
-1.794131858745490899e+04 -1.014679880092730673e+04 -1.119156342538773515e+03
-1.794085944549544729e+04 -1.014890252268761105e+04 -1.126155288330606709e+03
-1.794834058215758341e+04 -1.014426044128473950e+04 -1.123355962191032631e+03
-1.796442925610602106e+04 -1.013584286390537818e+04 -1.119835845229504230e+03
-1.797825308416166081e+04 -1.013160329136048313e+04 -1.111037266134850597e+03
-1.794320631597554893e+04 -1.014177670214493082e+04 -1.116621085060252881e+03
-1.792416368649759897e+04 -1.014957314281672006e+04 -1.112675823335713631e+03
-1.791877462853621546e+04 -1.013350321448680552e+04 -1.113353434309440672e+03
-1.791263881461162600e+04 -1.014991595065743786e+04 -1.112524347993597985e+03
-1.792990235049676266e+04 -1.013487441214447244e+04 -1.111251720742740872e+03
-1.789415284425057325e+04 -1.014774052866498459e+04 -1.115886702452132340e+03
-1.791656016418464060e+04 -1.013562860418390846e+04 -1.108476449793334723e+03
-1.789946983456374801e+04 -1.014456333193822138e+04 -1.109574797158668389e+03
-1.790257701005910349e+04 -1.014226506569102276e+04 -1.108832270213210450e+03
-1.787127063348957017e+04 -1.013871996814191516e+04 -1.114628629253485997e+03
-1.788016178877425045e+04 -1.013377297995095978e+04 -1.119816548346814216e+03
-1.786869213367111661e+04 -1.013323206596977980e+04 -1.113148377181706110e+03
-1.788866236609438056e+04 -1.014182755664436081e+04 -1.114266010735346754e+03
-1.785078040965068794e+04 -1.014094522684780895e+04 -1.115873053561453162e+03
-1.786138020410304307e+04 -1.014434367364407990e+04 -1.116389474578634236e+03
-1.787647703957504564e+04 -1.014474919013467661e+04 -1.112968699556621686e+03
-1.786911801172531705e+04 -1.014729000156215989e+04 -1.113104285317630456e+03
-1.786776824378271340e+04 -1.014076562444663432e+04 -1.112620069258204694e+03
-1.784940108913322183e+04 -1.013820665107776222e+04 -1.103912581673424484e+03
-1.782672771906973867e+04 -1.014103371901351238e+04 -1.108320533619255002e+03
-1.781636089976701987e+04 -1.014232077287652464e+04 -1.112124165856295804e+03
-1.782169025812525069e+04 -1.013672648121132988e+04 -1.115906190419417271e+03
-1.782366368653748214e+04 -1.013690821078184126e+04 -1.113952222822460499e+03
-1.780400054274459035e+04 -1.013636675687488241e+04 -1.108080521059926014e+03
-1.781583405910155489e+04 -1.013046584401304426e+04 -1.102474087080732716e+03
-1.777736960916697717e+04 -1.014379209941638510e+04 -1.102371502509818583e+03
-1.778580425278911571e+04 -1.014066923590526858e+04 -1.106243332057812950e+03
-1.777550180742805969e+04 -1.014634343631337288e+04 -1.109576842552824473e+03
-1.777304346176817853e+04 -1.014660534415510483e+04 -1.105712871114932113e+03
-1.776994959479160389e+04 -1.014330387285452161e+04 -1.102921225231755216e+03
-1.778458881222103810e+04 -1.014781714305371861e+04 -1.108015616372694240e+03
-1.781238592409524063e+04 -1.013337676018168713e+04 -1.109594479365337065e+03
-1.779216301717852548e+04 -1.013903068329786765e+04 -1.104012933235007495e+03
-1.780438980376215113e+04 -1.013729911723086479e+04 -1.103629863367324560e+03
-1.779171820148582628e+04 -1.013791303742249511e+04 -1.109330115842205942e+03
-1.778433106115317787e+04 -1.015801614727732704e+04 -1.104703641429855907e+03
-1.779904755333250432e+04 -1.014098505969117650e+04 -1.103707542743378781e+03
-1.780839135864835043e+04 -1.014276766556300572e+04 -1.114515966702332662e+03
-1.779605649453442675e+04 -1.014014902655269907e+04 -1.118998060602905298e+03
-1.781220720944435743e+04 -1.014230983531719176e+04 -1.116652924481915761e+03
-1.782474311611309531e+04 -1.014755530086961517e+04 -1.117174195062079434e+03
-1.783030830399401384e+04 -1.014844237575096122e+04 -1.104197166085553363e+03
-1.783537643945678064e+04 -1.014376020945237178e+04 -1.113387537091612558e+03
-1.783278680825944321e+04 -1.013531139057252221e+04 -1.113105559978423571e+03
-1.782262517787746765e+04 -1.013691730710596676e+04 -1.108982825540216254e+03
-1.780840201520524715e+04 -1.013943417964351829e+04 -1.106490072187555143e+03
-1.775990154267561229e+04 -1.014283702765345151e+04 -1.108956770569505352e+03
-1.776936536164477002e+04 -1.014610768516399548e+04 -1.107087161585068770e+03
-1.776658408190347473e+04 -1.014723929532617694e+04 -1.108311765603963522e+03
-1.775396403557927988e+04 -1.014876699033954719e+04 -1.123326715784790849e+03
-1.773957908177297577e+04 -1.014965817027403318e+04 -1.116602216614798181e+03
-1.776521451775085734e+04 -1.014113515310493312e+04 -1.106360908316581572e+03
-1.777077473846162684e+04 -1.015322720358438528e+04 -1.106271046483951977e+03
-1.778501063992200579e+04 -1.015355027800106109e+04 -1.105487320343921965e+03
-1.775633772965790195e+04 -1.014858037763889297e+04 -1.109242233283544010e+03
-1.777327790239727256e+04 -1.015101564177342880e+04 -1.110430214637934569e+03
-1.778634235579164306e+04 -1.013244040978183875e+04 -1.103802671768729397e+03
-1.781230248824982846e+04 -1.014110051551354263e+04 -1.103495186195443694e+03
-1.783289161599072759e+04 -1.013896766113469130e+04 -1.107346733519669669e+03
-1.783631096894672737e+04 -1.013633682592741025e+04 -1.108045801233648945e+03
-1.784967056609028077e+04 -1.013188524380507988e+04 -1.105896722807840433e+03
-1.787097288677847973e+04 -1.013452979631983908e+04 -1.110809767735281639e+03
-1.788154362220163239e+04 -1.012819521379579601e+04 -1.103267712310948809e+03
-1.787812352586416091e+04 -1.013080492634197071e+04 -1.105236201856277148e+03
-1.788451472507477229e+04 -1.013365882023451741e+04 -1.112319559692950406e+03
-1.787872764994949830e+04 -1.014209467796664831e+04 -1.111225874405593004e+03
-1.788282599862737334e+04 -1.012780076099143116e+04 -1.107196987387083482e+03
-1.792423191973753637e+04 -1.013324547860559687e+04 -1.114656229815535880e+03
-1.788976818659795026e+04 -1.013894421820962816e+04 -1.110098995794344319e+03
-1.789243849582216717e+04 -1.013996799751073740e+04 -1.108024678796632998e+03
-1.789854277230247681e+04 -1.012931643645991426e+04 -1.105647743636745872e+03
-1.788595756625945069e+04 -1.013113662173371813e+04 -1.115461995527261479e+03
-1.790021397613420413e+04 -1.012728830112883952e+04 -1.107404947823049497e+03
-1.787144777228132807e+04 -1.012706799079840494e+04 -1.112990748897580033e+03
-1.787516014166908644e+04 -1.012793077310700392e+04 -1.115206844206441474e+03
-1.789249383515283989e+04 -1.013439361756871585e+04 -1.109372170696567537e+03
-1.789616242842415159e+04 -1.013233839269280179e+04 -1.109945664903639226e+03
-1.785726075009071064e+04 -1.014071374317925256e+04 -1.112935097772642166e+03
-1.785284007289118381e+04 -1.012801073719593478e+04 -1.105607503279524281e+03
-1.786643421970929921e+04 -1.012664092761564825e+04 -1.102395604887690297e+03
-1.787310353110812503e+04 -1.012746095872495789e+04 -1.108604431996407584e+03
-1.787396192036629509e+04 -1.013372937455731335e+04 -1.110241597347023344e+03
-1.787558708814108832e+04 -1.013578860559222994e+04 -1.110037315560461593e+03
-1.786428489272627849e+04 -1.013372484459248153e+04 -1.112382284870189778e+03
-1.787954162488908332e+04 -1.012657738353560308e+04 -1.113087477449822018e+03
-1.784545254623386063e+04 -1.013408289390144273e+04 -1.110175869613727173e+03
-1.788538830008211880e+04 -1.013750261346855223e+04 -1.112882924082086902e+03
-1.786445124750501418e+04 -1.013661411524071627e+04 -1.114939807722033947e+03
-1.783674578734627357e+04 -1.015018708803864502e+04 -1.120160588952569015e+03
-1.783472559206966980e+04 -1.014625166699307374e+04 -1.110024244581898529e+03
-1.782181737677153433e+04 -1.014984752548714823e+04 -1.104809641514941632e+03
-1.784032677525818508e+04 -1.014556735455885791e+04 -1.110022582069186683e+03
-1.783371421151524555e+04 -1.013586437168131852e+04 -1.105418557507721744e+03
-1.784953752923014690e+04 -1.014375375846423049e+04 -1.114661834237625044e+03
-1.787043976086188559e+04 -1.013794855795377953e+04 -1.116193218788705053e+03
-1.784094722125044791e+04 -1.013248769912604985e+04 -1.110733188876721215e+03
-1.779670227742742645e+04 -1.014161437024867155e+04 -1.120077651135764881e+03
-1.778354929706882467e+04 -1.014460993700747349e+04 -1.125360143412978687e+03
-1.778752892694233014e+04 -1.014579728414822966e+04 -1.110997202950007704e+03
-1.779462248766467746e+04 -1.015247466006840114e+04 -1.100492151044240472e+03
-1.779993205370939904e+04 -1.015570780495767940e+04 -1.107038070493515079e+03
-1.780521578783552104e+04 -1.014809737717495227e+04 -1.106072236255315147e+03
-1.782646214184949349e+04 -1.014195207552693864e+04 -1.107353427418824140e+03
-1.784594519240042064e+04 -1.014713628940627677e+04 -1.109501056039422110e+03
-1.786056242961342650e+04 -1.015367624630060709e+04 -1.110468828681980540e+03
-1.784100250884710840e+04 -1.014059179769979892e+04 -1.107087889446281224e+03
-1.785172858495874243e+04 -1.013144815839880539e+04 -1.113516616580142909e+03
-1.785520385071337660e+04 -1.013292187273398849e+04 -1.109106189388783605e+03
-1.785232012708827824e+04 -1.013550255248284338e+04 -1.116173044402979940e+03
-1.786161072053180760e+04 -1.013390738116305874e+04 -1.110657630082133437e+03
-1.783819678086784916e+04 -1.013496674185744087e+04 -1.116316225160866907e+03
-1.783128855260690398e+04 -1.013079795497437772e+04 -1.106351154860127735e+03
-1.782062539280155761e+04 -1.013616819467177629e+04 -1.103020332874854830e+03
-1.779750892977023614e+04 -1.013244727542776309e+04 -1.103720629202290183e+03
-1.778101202140778332e+04 -1.012893306491703333e+04 -1.113850818010103467e+03
-1.777494119587008026e+04 -1.011620316616392665e+04 -1.118714266997517825e+03
-1.775929424462761017e+04 -1.012124495538960946e+04 -1.121531285831956666e+03
-1.778400583622890554e+04 -1.011669684570995560e+04 -1.124614248798288372e+03
-1.781765634701921226e+04 -1.011434409485678225e+04 -1.109563412056723337e+03
-1.781411658167147107e+04 -1.012013207948129639e+04 -1.115848268944336724e+03
-1.781400409154619410e+04 -1.013177112850187223e+04 -1.122587983446210728e+03
-1.780167074747864172e+04 -1.013266388005556109e+04 -1.117941574674879575e+03
-1.782847005128786986e+04 -1.013699992545684654e+04 -1.117472651458806467e+03
-1.781912709278849798e+04 -1.014626965935564658e+04 -1.114273357379419394e+03
-1.782444023083143838e+04 -1.013551387904822877e+04 -1.117939548240866770e+03
-1.780777310704028423e+04 -1.013066006139282399e+04 -1.116975202608821746e+03
-1.776806175121658453e+04 -1.013162757595301082e+04 -1.120108083209458528e+03
-1.778806175162741783e+04 -1.012070839655117561e+04 -1.113176349914416278e+03
-1.776980152532222928e+04 -1.012705409150945707e+04 -1.114683058641296157e+03
-1.778137733281452529e+04 -1.012529224977300873e+04 -1.122633158564917267e+03
-1.781257436543998483e+04 -1.012523038942954736e+04 -1.121523886068436241e+03
-1.782989325684863798e+04 -1.014045731448143852e+04 -1.120469283243664904e+03
-1.782231892693537156e+04 -1.014680626775741257e+04 -1.132584516483016614e+03
-1.785230381574456987e+04 -1.012687081810336531e+04 -1.122185313708113426e+03
-1.784245431950732745e+04 -1.012348458369146101e+04 -1.117490711379026379e+03
-1.785507773542459472e+04 -1.013149598797627186e+04 -1.117573380604220802e+03
-1.788589467381520444e+04 -1.012637967928394755e+04 -1.116782383045105689e+03
-1.790753487469222819e+04 -1.012178133796905786e+04 -1.111672702763824418e+03
-1.792184092652333857e+04 -1.012106474711675401e+04 -1.108654525793679113e+03
-1.792420116138019148e+04 -1.012331132304037783e+04 -1.109102142474224820e+03
-1.792296606031444389e+04 -1.012325008145683933e+04 -1.117527930139403452e+03
-1.790570035042190284e+04 -1.012513811247558260e+04 -1.117977241709201280e+03
-1.788524014436832658e+04 -1.012811257126108649e+04 -1.121468599077095405e+03
-1.787322905151939995e+04 -1.012442527411424453e+04 -1.113146565198610006e+03
-1.787578098537716505e+04 -1.013119938810079111e+04 -1.118380564358606534e+03
-1.788984942919310197e+04 -1.013514792157045667e+04 -1.113656864733856764e+03
-1.789946890515552514e+04 -1.014093094051950902e+04 -1.115426853418330666e+03
-1.792130848259673803e+04 -1.013980018505497901e+04 -1.114454528290728376e+03
-1.789277386518445564e+04 -1.012412473543483429e+04 -1.113627819885113240e+03
-1.789599029887325378e+04 -1.013087721347685147e+04 -1.116467358723968573e+03
-1.787293142662078753e+04 -1.015176028077070987e+04 -1.128184105755718520e+03
-1.784480004593458943e+04 -1.015370890692762987e+04 -1.115711762083943086e+03
-1.783483157402126744e+04 -1.014422729646662629e+04 -1.124456601056049749e+03
-1.782620325459427477e+04 -1.014184028078939809e+04 -1.120020672267091868e+03
-1.783391935620522781e+04 -1.012583455684344881e+04 -1.119629485013895192e+03
-1.785028556645626304e+04 -1.013240971653252564e+04 -1.118459632441637041e+03
-1.784184390241879373e+04 -1.013130818432529122e+04 -1.116185433091992309e+03
-1.786909220437161275e+04 -1.012287104083658778e+04 -1.118399709175207136e+03
-1.787876139447032620e+04 -1.013514435777740073e+04 -1.123787039867533622e+03
-1.787461694771194016e+04 -1.014375318156406320e+04 -1.120927252569903430e+03
-1.785606956198515036e+04 -1.013985448258166798e+04 -1.121612350680946292e+03
-1.787555829542733045e+04 -1.015187765698713702e+04 -1.118571767964538139e+03
-1.788281921075998980e+04 -1.015133674789429278e+04 -1.116390597727030581e+03
-1.786603194613004962e+04 -1.014755188866448952e+04 -1.128882380638168343e+03
-1.786358363126481345e+04 -1.014927436155098076e+04 -1.128783523508030612e+03
-1.783761275055528677e+04 -1.014492125424452752e+04 -1.122943805391130809e+03
