,Karen,Scott,Jessica,write a review,A verified traveler,Kevin,William,R,S,Christopher,Contributor,Chris,Patricia,Lisa,Mike,John,Nancy,H,Jason,Stephen,Anonymous,Jeffrey,Jennifer,Linda,Richard,James,Charles,Robert,Paul,George,Barbara,Steve,Eric,Mark,Mary,C,Daniel,Donald,David,Thomas,Susan,A Traveler,M,Not Provided,B,Laura,xxxxxxxxxxxxxx,Michael,Joseph
Bayside Resort Hotel,5.0,4.0,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,4.0,,4.0,5.0,,,5.0,4.0,,,,,5.0,,4.0,,,,,,5.0,
Beacon Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Cove Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellaire Motel Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western Burlington Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western Hartford Hotel & Suites,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,4.0,,,,,5.0,3.0,,4.0,,,,,,3.0,
Best Western Holiday Hills,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,4.0,,,,5.0,,4.0,,,,5.0,,,
Best Western Hospitality Hotel and Suites,5.0,,,,,4.0,,,5.0,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,4.0,4.0,,3.0,,,,,,5.0,
Best Western Hotel De Neuville,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,
Best Western Knoxville Suites,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,2.0,,,,,,,,,,,3.0,,,5.0,,,,,,4.0,
Best Western Luxury Inn,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western Plus Arlington North Hotel and Suites,,,5.0,,,,1.0,,,,,,,,,5.0,,,,,,,,,5.0,,,2.0,,,,,,,5.0,,4.0,,,,,5.0,,,,,,,
Best Western Plus French Quarter Landmark Hotel,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.0,,,,3.0,,,4.0,,,4.0,,,5.0,
Best Western Plus Humboldt House Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western Plus Kelly Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0,,,5.0,,,,4.0,,,,4.0,,,,,,2.0,
Best Western Plus San Marcos Inn,,,,,,,,,,,5.0,,,,,,,,,,,,,,2.0,,,,,,4.0,,,,2.0,,,,,,,4.0,,,,,,,
Best Western Plus Waterville Grand Hotel,,5.0,,,3.0,3.0,2.0,,,4.0,,,,4.0,5.0,5.0,,,,4.0,,,,,,,,5.0,,,,,,4.0,4.0,,,,,,,5.0,,,,,,,
Best Western Rama Inn & Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Western Saint-etienne Aeroport,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,
Best Western Silicon Valley Inn,,,,,,,,,,,,5.0,,,,,,,,,,3.0,,,,,,,,4.0,3.0,,,,4.0,,,,,,4.0,5.0,,,5.0,,,,
Best Western of Long Beach,,4.0,,,,,,,,2.0,,,,,,3.0,,,,,,2.0,,1.0,,,,,,,,,,,,3.0,,,,,,3.0,4.0,,5.0,,,5.0,
Bethesda Gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Mountain Lodge,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
Boardroom Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body Tuneup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boiling Springs Resort Canoe Rental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasstown Valley Golf Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briarcliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightwood Inn Country Inn,,,,,,,,,,,,,,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,5.0,5.0,,,,,,,
Brooks Donald L Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookside Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget Host,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busy B Ranch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Neva Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calloway Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campanile Lyon Ecully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,
Campus Inn & Suites Eugene Downtown,,,,,,,,,,,,,5.0,1.0,,4.0,,,,,,,,,4.0,,,2.0,,,,,4.0,,,,,,3.0,4.0,5.0,3.0,3.0,4.0,,,,5.0,5.0
Candlewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candlewood Suites Eugene Springfield,,,,,,,,,,,,9.6,,,,10.0,,,10.0,,5.4,,,,10.0,9.6,,8.8,,,10.0,,,,,,,,10.0,7.0,9.6,,,,,6.7,,9.5,2.5
Candlewood Suites Huntersville,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,5.0,,,2.0,,,4.0,,,,3.0,,,4.0,,,4.0,,,,,,,
Canyon Gate Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa Del Mar Inn Bandb,,,3.0,,,,,,3.0,,,,,,,4.0,,,,,,,,,,5.0,,,,,,,,,,,,,,4.0,,2.0,,,,,,,
Cascabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Kona Reef,,3.0,,,,,,,4.0,,,,3.0,,4.0,,,3.0,,,,,,3.0,4.0,,,,,5.0,,,,5.0,,,,,2.0,,,4.0,,,,,,,
Cedar Crest Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet Leon At Hector Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalfant House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea Inn,2.0,,,,,4.0,,,,,,3.0,4.0,,,,,,,,,4.0,,,4.0,,,,,,4.0,,,,,,,,,,,4.0,,,3.0,,,,
Cherokee Lodge Bed and Breakfast,,,,,,,5.0,,,,,,,3.0,4.0,,,,,,,,,,,,,,1.0,,,4.0,,,4.0,,,4.0,,,5.0,4.0,,4.0,,,,,
Cherry Orchard Inn,,,,,,,,,4.0,,,,,,,,,,,5.0,,,,,,5.0,,,3.0,,,,,,,,,,3.0,,,4.0,,4.0,,,,4.0,
Chippewa Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Hills Lodge Hernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Express Irapuato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,5.0,,5.0,
Clarion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarion Inn Strasburg - Lancaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clatskanie River Inn,,,,,,,,,,,,4.0,,,,,,,5.0,,,,,,,3.0,,,,5.0,,,,,,,,,,,,5.0,,,,,,,
Cliffrose Lodge Gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close For You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clubhouse At River Country Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colonial Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Gorge Riverside Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Hotel Nation Pere Lachaise Paris 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,3.0,,,,,,,
Comfort Inn,,,,,,,,,2.0,,5.0,,,5.0,5.0,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,3.0,,3.0,,,,3.0,,4.0,
Comfort Inn & Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Inn - Springfield,4.0,,,,,,,,3.0,,,,,,,4.0,5.0,,,,,,,,,,,,4.0,,,,3.0,,,,,,1.0,,,5.0,,,,,,,
Comfort Inn Birmingham - Irondale,,,,,,4.0,3.0,,,,,4.0,,,,4.0,,3.0,,,,,,,4.0,,,,,3.0,,,,,,,,4.0,,4.0,,4.0,,,,,,1.0,4.0
Comfort Inn Deland - Near University,4.0,,,,,,,,,,,,4.0,,,4.0,,,4.0,5.0,,,5.0,,,,,5.0,,,,,,,4.0,,,,,,,5.0,,,,,,4.0,4.0
Comfort Inn Humboldt Bay,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Inn Huntingdon,,,,,,,,,,,,,4.0,,,,,,,,,,,,,3.0,,,,,,3.0,,,4.0,,,,,3.0,3.0,1.0,,,,,,,
Comfort Inn Livermore,,,,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,4.0,,,,,,4.0,,4.0,,,,,,4.0,4.0
Comfort Inn Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,3.0,,,,,,,,3.0,,,,,,2.0,
Comfort Inn and Suites,,3.0,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,5.0,,,,,,,,,,,,,4.0,5.0,5.0,4.0,,,,,,5.0,
Comfort Inn and Suites Bend,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,4.0
Comfort Inn and Suites O'fallon,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,3.2,,,,,,,
Comfort Suites,3.0,,,,,,3.0,4.0,5.0,,5.0,,1.0,,,4.0,,,,,,,4.0,,,4.0,5.0,3.0,,,5.0,,5.0,,,3.0,,4.0,3.0,,,5.0,,4.0,,,,4.0,4.0
Comfort Suites Fort Pierce,,1.0,4.0,,,,,,,,,,,,,,,,3.0,,,,3.0,5.0,,,,,,,,,,4.0,,,,,,,,3.0,,,,,,,
Comfort Suites South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Suites Southport,,,,,,,,,,,,,3.0,,,3.0,,,,,,,1.0,,4.0,,,,,,,,,,5.0,,,,,,4.0,5.0,,4.0,,,,,
Corey Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Inn & Suites By Carlson,3.0,,,,,,,,,,,5.0,,,,5.0,4.0,,4.0,,,,5.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,3.0,,,,5.0,,5.0,4.0
"Country Inn & Suites By Carlson, Rocky Mount, Nc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
Country Inn Walker,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,5.0,,,,4.0,,,,,,,5.0,,,,,,,
Country Inn and Suites By Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,4.0,,,2.0,,,,,,,
Country Inn and Suites By Carlson Charlotte University Place,,5.0,2.0,,,,,5.0,,,,,,5.0,,,,,,,,,,5.0,4.0,,,4.0,,,,,,2.0,,5.0,,,,,,5.0,,,,5.0,,,5.0
Country Inn and Suites By Carlson Corbin,4.0,,5.0,,,,,,,5.0,,,,,,4.0,,,5.0,4.0,,,5.0,,,,,,,5.0,,,,4.0,,,,,4.0,,,5.0,,2.0,,,,5.0,
Country Inn and Suites By Carlson Galena,5.0,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,3.0,,4.0,4.0,4.0,,,,,5.0,
Country Inns Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtyard Burlington Harbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtyard By Marriott Downtown Boise,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,4.0,,5.0,5.0,,,,5.0,,,4.0,,,,,,,
Courtyard By Marriott Rockaway Mount Arlington,,,3.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,5.0,,4.0,,,3.0,,,,,,4.0,
Courtyard Hattiesburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtyard San Marcos,,,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossland Economy Studios - Lake Charles - Sulphur,3.0,,,,,,,,,,,,,1.0,,2.0,,,,,,,,5.0,4.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,
Cypress Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas/fort Worth Marriott Solana,,4.0,,,,,,,,,,,,,,1.0,,,3.0,,,,,,5.0,4.0,,,,,,,,,,,,,5.0,5.0,,5.0,,,,,,,
Davison St Guest House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Inn & Suites Castle Rock,5.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,,,,,,,4.0,,,,1.0,,,,,,2.0,
Days Inn & Suites Vicksburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Inn Bangor Airport,,3.0,,,,,,,5.0,,,,,,,,3.0,,,,,,,5.0,5.0,,,4.0,,4.0,,,,,,,,,5.0,,,3.0,,,,,,,
Days Inn Berea Ky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Inn Bowling Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Inn Branson / Near The Strip,,,,,,,5.0,,,,,,,,,,,,,,,,,2.0,4.0,3.0,,5.0,,,,,,4.0,,,,,,,,4.0,,,,,,,
Days Inn Branson Mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Inn Brookings,,,,,,,,,4.0,,,,2.0,,,4.0,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,
Days Inn El Reno Ok,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
Days Inn Fort Wayne,,2.0,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,3.0,,,,2.0,,,5.0
Days Inn Lanham Washington Dc,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,4.0,,,,
Days Inn North Columbia Ft. Jackson,,,,,,,,,,,,,,,,2.0,,,,,,,,,4.0,5.0,,,,,,,,4.0,,,,,,,,3.0,,,,,,,
Days Inn Ruther Glen Kings Dominion Area,,3.0,,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,
Days Inn Statesville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Inn Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Inn Tallulah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Inn Warren,,,,,4.0,,,,,,,,5.0,,,4.0,,,,,,,4.0,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,
Days Inn West Memphis,4.0,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,3.0,,,5.0,,,,,,,2.0,,,,3.0,,,3.0,,,3.0,
Days Inn and Suites Albany,,,,,,,,,,,,,4.0,,,,,,,,,3.0,4.0,,,1.0,,1.0,3.0,2.0,,,,,,,,,,,,1.0,,,,,,4.0,
Days Inn-amarillo-medical Ctr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Broke Inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Inn,,,,,,3.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,5.0,,,,5.0,,4.0,
Dockers Inn,,,,,,,,,,1.0,,,,,,3.0,4.0,,5.0,,,2.0,,3.0,,4.0,,,,,,,,,4.0,,,,5.0,,,4.0,,,,,,,
Doubletree By Hilton Hotel Bay City - Riverfront,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,,,,,4.0,,,,,,,
Doubletree By Hilton West Palm Beach Airport,,,4.0,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,
Drury Inn & Suites San Antonio Northwest Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drury Inn and Suites Columbus Convention Center,,5.0,,,,,,,,5.0,,,,,,4.0,4.0,,,,,,,,4.0,,,5.0,,,,,,,,,,,,,,2.0,,,,,,,
Durango Travelodge,,,,,,,,,,,2.0,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,1.0,,,,,,,2.0,,,,5.0,4.0,4.0,5.0
Econo Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Econo Lodge Bellmawr,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,3.0,,,,,,,3.0,,,,,,4.0,
Econo Lodge Big Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Econo Lodge Inn & Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Econo Lodge Miles City,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,3.0,,,,,,,
Econo Lodge St Robert,,,,,,,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Economy Inn,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,2.0,2.0,,,,,4.0,
Economy Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden Park Guest House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgewater Inn & Cottages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado Seaside Suites By Karisma - All Inclusive,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,5.0,,,,,,
Elba Sara Beach & Golf Resort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,3.0,,,,,,,
Excellence Riviera Cancun - Adults Only - All Inclusive,,,,,,,,5.0,5.0,,,,,,,4.0,,,4.0,,,,,,5.0,,,,,,,5.0,,,,5.0,,,,,,5.0,5.0,,5.0,,,,
Extended Stay America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extended Stay America - Bloomington - Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extended Stay America - Chicago - Westmont - Oak Brook,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,1.0,,,,,,,,4.0,,,4.0,,,,,,,
Extended Stay America - Columbia - Northwest Harbison,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,,,5.0,3.0,,5.0,,,,,,4.0,
Extended Stay America - Fort Lauderdale - Davie,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,4.0,,,,,,,2.0,,,,,1.0,,3.0,4.0,,,,,,1.0,
